Pos;Time;P;J;V;E;D;GP;GC;SG
1;Botafogo;59;32;18;5;9;51;28;23
2;Grêmio;59;33;18;5;10;57;49;8
3;Palmeiras;59;33;17;8;8;53;30;23
4;Bragantino;58;32;16;10;6;44;27;17
5;Flamengo;56;32;16;8;8;49;36;13
6;Atlético-MG;54;33;15;9;9;41;26;15
7;Athletico-PR;50;33;13;11;9;46;38;8
8;Fluminense;46;32;13;7;12;42;41;1
9;São Paulo;45;32;12;9;11;37;35;2
10;Cuiabá;44;33;12;8;13;34;34;0
11;Fortaleza;43;31;12;7;12;35;35;0
12;Internacional;43;33;11;10;12;38;40;-2
13;Santos;41;33;11;8;14;37;55;-18
14;Corinthians;41;33;9;14;10;38;39;-1
15;Bahia;37;33;10;7;16;38;46;-8
16;Vasco;37;32;10;7;15;33;42;-9
17;Cruzeiro;37;31;9;10;12;29;27;2
18;Goiás;35;33;8;11;14;33;47;-14
19;Coritiba;26;33;7;5;21;38;67;-29
20;América-MG;21;33;4;9;20;38;69;-31
